,barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,engId,feScore,fuelCost08,fuelCostA08,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,UCity,UCityA,UHighway,UHighwayA,year,youSaveSpend,charge240b,phevCity,phevHwy,phevComb
co2A,0.037301212405675736,0.5794709017567719,,-0.01249104350493588,-0.034781925839549824,0.07383173771785861,0.20503904882514495,0.21068967943740471,-0.0016109584618062764,-0.013794547701177707,-0.009024973125265016,0.23841768978002315,1.0,0.6125910745364569,0.03773206231757486,-0.0348000473590115,0.08448593113540162,0.23903249427512235,0.2467707005419252,-0.013948395811668499,-0.0014419514659200906,-0.009038108846310991,0.07991221441207502,0.09381287703109772,-0.051262703394791886,0.11792830507611113,0.01405262795292922,0.6154873015240448,0.117632803768306,0.8846150561241372,-0.032249997790153404,0.09826726017651369,0.2887021566123893,0.3021913924883579,-0.0010753242374391622,-0.014083090072824314,-0.009048426107419844,-0.031443124793802756,-0.03535008123857035,0.12114255765603694,-0.035658942441033736,-0.03602501734664615,-0.00836346142001619,-0.03553260542494363,-0.03876731965416049,-0.0102071168641984,-0.009177404853772227,-0.007319097713328358,-0.009066017434085395,-0.007607298188209362,-0.033807844464793506,0.18006179734823838,-0.029878462546374305,0.4660811499619557,0.12168066920872593,-0.01453759132770675,-0.005909411534369188,-0.008532541247843965,-0.008904882858869357,-0.008714661203158435
co2TailpipeAGpm,0.11080135836865229,0.9300337438889054,,-0.019055503009318922,-0.07307510030066776,0.025752221412642558,0.2927048940524642,0.1845477250658854,-0.002457570803008351,-0.021044042087285667,-0.013767897172046309,0.09054028653880948,0.6125910745364569,1.0,0.11200083027296673,-0.0786260495405905,0.032815599182251326,0.3409269192120514,0.21728352783098845,-0.02127874250533168,-0.002199745000269552,-0.013787936152122067,0.150585200101575,0.17308402909333306,-0.07929558303303942,0.011376232191953925,0.06331785293085856,0.9977543916180527,0.011283673159686265,0.5553128160956219,-0.08140188831153991,0.04255347164090814,0.41103520709308683,0.2677909411880982,-0.001640442948935261,-0.021484223088100877,-0.013803675477665894,-0.05392586399577151,-0.059393415019011346,0.10368492436121698,-0.05859313367155604,-0.06180788932951757,-0.012758739027245057,-0.0600135835114152,-0.0701457416054377,-0.015571296829231944,-0.014000436852188786,-0.011165527399429578,-0.013830511632554054,-0.011605186825338499,-0.07337550202962907,0.24700220922955812,-0.0856417468288893,0.6426683790775354,0.11998663309764213,-0.06385336625793321,-0.009015004169345853,-0.013016675937537366,-0.013584695469819448,-0.013294505996745656
co2TailpipeGpm,0.9898003428427408,0.0555660139552341,,-0.348101113528951,-0.7198726667467805,-0.5216535339510202,-0.15144238214349023,-0.16604311088310597,-0.0143274548509008,-0.3249977944268987,-0.17968394716402455,-0.12431033847804969,0.03773206231757486,0.11200083027296673,1.0,-0.7718910816840869,-0.517226906485754,-0.14607534362496744,-0.16322910973128515,-0.3317145308384013,-0.011333783780621545,-0.17948053322018223,0.7427073409208031,0.7931759785789071,-0.017076812667512868,-0.47639659561495346,0.9242627376876172,0.10743613573467019,-0.47852786596226216,-0.0009379547747170253,-0.8247342144760906,-0.5002087106060444,-0.13623332077541905,-0.15704588354070986,-0.0048855216776750015,-0.3385751378832596,-0.17900408966842493,-0.2465973889861519,-0.2739929719699374,-0.2925511726678921,-0.07815380373321418,-0.24377975331580762,-0.15383113985689792,-0.07878248951442468,-0.29038639626958734,-0.3069440345956303,-0.2759789772579969,-0.15709779491351344,-0.2726293826117573,-0.1606581385382636,-0.7044293619705075,-0.1580291078771435,-0.835500989930205,-0.027343138985818062,-0.2965779198699657,-0.9300748430312035,-0.17764336350880655,-0.17789034551428687,-0.18070296761801527,-0.17957600517793978
comb08,-0.7608355386578838,-0.05684954426830195,,0.7219337624608467,0.9924503044652823,0.750342910102087,0.0705170198651235,0.08013230754307549,0.0031072848260228166,0.4796440889072664,0.07811558525083034,0.035626608700645344,-0.0348000473590115,-0.0786260495405905,-0.7718910816840869,1.0,0.7063722076493181,0.06508684034635068,0.07639947943143141,0.4979616740593861,0.0015425339612116806,0.0771200002789496,-0.6832993587581822,-0.7265860322731013,-0.012626287810924033,0.4813860868504652,-0.6905898266883472,-0.07749502588949085,0.4798377943105644,-0.01340064073182878,0.9799644094428046,0.636489077907147,0.0566484953410178,0.07026088923365087,-0.0012738684409444065,0.5181024720768393,0.07568610060726395,0.2179291580838527,0.23075992601010958,0.2499823180252108,0.007084832593717559,0.1472276174557985,0.067969723681024,0.006089406488380498,0.178272402942233,0.7267692931991752,0.675146222863798,0.06887022608717806,0.6617646483867168,0.06801716992576953,0.9884478693071406,0.07498198862271933,0.9753007540996826,-0.009366710384116746,0.2401716337873668,0.6904929553996212,0.448976112953967,0.09232412556649729,0.0890454875051164,0.0911745515596962
comb08U,-0.5092180149206843,0.06330538254220196,,0.5582690052696799,0.7016137787395528,0.9947939779048753,0.1365492285488383,0.1518328896182339,0.014204767611521812,0.3896427335451142,0.11718965945916843,0.5667099324257109,0.08448593113540162,0.032815599182251326,-0.517226906485754,0.7063722076493181,1.0,0.1373237857255344,0.15531866453557464,0.4013440970133907,0.011934059833617937,0.11662401413851778,-0.14425432107126507,-0.17055503792526466,-0.2629831519838499,0.8537342332863258,-0.39647400130390087,0.03535138216793494,0.8519137511516048,0.09803653803742883,0.6948716565015137,0.9909738103862971,0.13707346992813774,0.1595502340331298,0.007378895509243355,0.4139286316594065,0.11576224255508936,0.04403415155940794,0.03258690018140701,0.6999111067201816,-0.07735737169164386,0.011366006311170202,0.10677494523195989,-0.05631808974339343,0.051350162444864705,0.5410432505010321,0.5076467120885944,0.09843683055468128,0.49811835025240475,0.0999668548631943,0.7023904806906117,0.1371955581102092,0.7063087127410238,0.0833681213828036,0.6853715797647951,0.4007434252867284,0.33640637878598717,0.12288095141745205,0.12339853427475808,0.12342520675292519
combA08,-0.14558475172842386,0.5482550884237277,,0.22367922644767232,0.07334411341883476,0.13944948138256832,0.9969648400502017,0.971128643094024,0.08112937056478263,0.5718979756262014,0.8901962128948241,0.05105269311726299,0.23903249427512235,0.3409269192120514,-0.14607534362496744,0.06508684034635068,0.1373237857255344,1.0,0.973445913287329,0.5709353197793594,0.06874472557814151,0.8878213958520419,-0.015704083279536204,-0.01622352994090801,-0.06042468094312947,0.1931201852490609,-0.06843241706204757,0.3568382073774443,0.21255889663034314,0.2601029642303911,0.04714218448180771,0.1301170016013838,0.994097560801828,0.9681764457507722,0.04177802496409406,0.5683768391856238,0.8838111693231299,0.010801349106351306,0.00456836331784797,0.1364507699000838,-0.043224397978402836,-0.0039935304639062445,0.777240479531305,-0.04203356312062924,0.01061129887630858,-0.011836733486418808,-0.010642622867588505,0.7702367093477884,-0.01051345189618543,0.7843181140357353,0.07732105721204963,0.9915369899144215,0.049588241104767505,0.5656980502043539,0.1371928122883814,0.11762805550620548,-0.0042776993644681955,0.9088060867813061,0.916931651350637,0.9145687032345723
combA08U,-0.1625918565050707,0.4424477912033035,,0.2308780649938583,0.08400698891019473,0.15657586465064444,0.9767434382224707,0.9974475186290884,0.08428753695360368,0.587346920463838,0.9096275296956732,0.06691170495375538,0.2467707005419252,0.21728352783098845,-0.16322910973128515,0.07639947943143141,0.15531866453557464,0.973445913287329,1.0,0.5864568134927527,0.07175046676146983,0.907140722502216,-0.033158476947129256,-0.03491423178635201,-0.050953234008319956,0.2127572963826704,-0.07675244112097183,0.23470922313648754,0.23274036159853087,0.26781669348186316,0.05852493029808188,0.14891589016556503,0.9582614668721926,0.9947613496186081,0.04387611272217383,0.5838847227078319,0.9030590358441767,0.017758842378655146,0.01195010580848205,0.13829512741462302,-0.03642907278232815,0.0012580486103530417,0.7996609234363241,-0.0346119405858243,0.017098971372512425,-0.01002066698941491,-0.009009764372273852,0.7865507916314584,-0.008900411628071704,0.8008517702760015,0.08868585458091459,0.979511670048119,0.0628440838655782,0.49794204792548974,0.13414750356865485,0.12704867196558822,-0.0031726862355754616,0.9278779485977753,0.9361620145262077,0.9337377717033305
combE,-0.32877844198564626,0.20300542963250184,,0.7252413821601801,0.5206564927940643,0.43552723296038126,0.569457900535773,0.5815143471218418,0.09625622845845316,0.9985082493704539,0.6532999916283693,-0.012251781298493414,-0.013948395811668499,-0.02127874250533168,-0.3317145308384013,0.4979616740593861,0.4013440970133907,0.5709353197793594,0.5864568134927527,1.0,0.08119699562960012,0.6569683557686743,-0.035829870078332,-0.04961316393850264,-0.050182741477843275,0.2811655394123936,-0.1897227076244263,-0.003660952126807213,0.3050676896609656,-0.013894639660596678,0.4458823643509034,0.3479180101064778,0.5623812952532083,0.5836378098647365,0.05153468243555242,0.9977846453845755,0.6615163705672443,0.06004350089372958,0.04581213415702285,0.15347231487762608,-0.042114341072913154,0.008062881220773714,0.6340115906461167,-0.041381777189882264,0.014155780095225369,0.5462238967936016,0.4737925925912314,0.49706526653385685,0.47100271744943223,0.5279563075855326,0.5257276849497249,0.5760671628747692,0.4344421212477882,0.23871770936158396,0.14105313987964543,0.23281319347158075,0.29325101482437466,0.5745809261932053,0.6195500545437532,0.5953701046072388
combinedCD,-0.020265654513777796,0.1367806402466834,,0.03736129654530811,0.002803717164671992,0.011629247639186609,0.06356682744404253,0.0662266892342696,0.992019037200963,0.08109053355879119,0.12795218188509172,0.013861095259960666,-0.0014419514659200906,-0.002199745000269552,-0.011333783780621545,0.0015425339612116806,0.011934059833617937,0.06874472557814151,0.07175046676146983,0.08119699562960012,1.0,0.1270304640335827,0.004912538035858747,-0.0016172983681668452,-0.005275945859858639,0.018825026134080148,0.002737580863624043,-0.002216867448641071,0.02237485074560675,-0.0014363942848731222,-9.023555276384454e-05,0.01182842108639294,0.07549907433117736,0.0790210131057364,0.9797943812533558,0.08234792955887575,0.12559214849178185,-0.0017753841352336525,-0.0023264758376071943,0.01317980732153558,-0.004509228878601968,-0.0006230435176426982,0.17241084683778088,-0.004272276261920113,-0.0016961972281128938,-0.0010194550420718177,-0.000916610613534623,0.08370855050466743,-0.0009054855849752435,0.08810868730819094,0.002670624109647166,0.06326238726612884,0.00030772061717883916,0.010683149545555552,0.012585018012002038,0.002296906292576384,-0.0005902136190407136,0.07793105041714245,0.09502255786502548,0.08532559231122035
combinedUF,-0.17910913531247763,0.2459697802237967,,0.2699952332444168,0.08574045434150347,0.1218031282392984,0.9026839614757733,0.9168189577695561,0.1387812923621489,0.6603309209993882,0.9996577864998061,0.01542657313686456,-0.009038108846310991,-0.013787936152122067,-0.17948053322018223,0.0771200002789496,0.11662401413851778,0.8878213958520419,0.907140722502216,0.6569683557686743,0.1270304640335827,1.0,-0.056322156993096784,-0.06480173327041647,-0.03258544797436363,0.18764199019375588,-0.06865049794578786,0.00745210473927877,0.2114467985853173,-0.00900327660100446,0.056231092666308366,0.10513914060858914,0.8549699787660914,0.881933183192118,0.09566510330394368,0.6509965880990971,0.9994517879268929,0.020639079340262483,0.01628840492977313,0.10303201485246137,-0.02345668881562567,0.011764681275383233,0.8119904771926664,-0.021281123773132567,0.02649617856609044,-0.006389913843796651,-0.005745288028486872,0.9023587849372406,-0.005675556680785944,0.9233303022824402,0.0901215701910537,0.9160502356452257,0.059358953064318036,0.3455533285003723,0.0975103292085762,0.12781242656570374,-0.000751867832134851,0.9597823459459166,0.9767006000557388,0.9693604977781474
cylinders,0.7337048538100784,0.1286614964547694,,-0.05035082581858188,-0.6784807949367688,-0.15480471989371883,-0.02267097180151431,-0.03781733386756005,0.004458549190093421,-0.033932841432170645,-0.056570556966234864,0.10912078099537717,0.07991221441207502,0.150585200101575,0.7427073409208031,-0.6832993587581822,-0.14425432107126507,-0.015704083279536204,-0.033158476947129256,-0.035829870078332,0.004912538035858747,-0.056322156993096784,1.0,0.9052885845522741,-0.2248875739553922,-0.16446517281144502,0.7822959304323094,0.14999067420373222,-0.16422764961962186,0.04048772566879593,-0.6473215226002973,-0.12565856123089114,-0.005064541272061269,-0.02541370076520989,0.005969421013777495,-0.038169666915851656,-0.05589054766942937,-0.24266718331478335,-0.2666929824854704,0.034402351805178415,-0.015566461765245086,-0.1585971778377064,-0.046271503088883364,-0.005264897652371815,-0.15977321322328467,,,-0.05764650590103759,,-0.05755973449915565,-0.659183069442929,-0.028856410250711846,-0.6474102545149623,0.05325205362240542,0.05109276203143818,-0.7811785717869005,-0.0045532148311087225,-0.06059481651275009,-0.0592186450468711,-0.06015805777662617
displ,0.7846097510171237,0.1458368012980837,,-0.061075404263334805,-0.7109516779593231,-0.1799274502049221,-0.023771533178452483,-0.03992527847736228,-0.0023742844042284107,-0.048032869616379696,-0.06495380647163375,0.07447097364546781,0.09381287703109772,0.17308402909333306,0.7931759785789071,-0.7265860322731013,-0.17055503792526466,-0.01622352994090801,-0.03491423178635201,-0.04961316393850264,-0.0016172983681668452,-0.06480173327041647,0.9052885845522741,1.0,-0.25517208681735165,-0.19070245475433306,0.781296339122138,0.171694232188614,-0.1905493105297977,0.05432993196096085,-0.7066984247026319,-0.15384035324374642,-0.00469579051419866,-0.02647274334721666,9.366304738281339e-05,-0.05148780075952727,-0.06453454454914263,-0.27210721680915456,-0.3004400761415096,-0.002505979808634254,-0.05051489452062981,-0.21655215044066106,-0.053043364857864025,-0.05123803820958262,-0.23413394829618756,-0.011391339293204019,-0.011391339293203948,-0.06232011571347841,-0.01139133929320399,-0.06293104144405527,-0.6912082482647455,-0.030937400677857715,-0.7036937774834886,0.06254835036043363,0.004292231118540203,-0.7808401823316949,-0.006184578304880561,-0.06729843313177063,-0.0672117053945975,-0.06742875946418422
engId,-0.015319333355425208,-0.08403417540472398,,-0.04516257000329514,-0.00193238823967179,-0.2464928779801201,-0.05647854101162047,-0.04812585109044617,-0.0058670456095537135,-0.04960572052944758,-0.032547711184343533,-0.2633285813382205,-0.051262703394791886,-0.07929558303303942,-0.017076812667512868,-0.012626287810924033,-0.2629831519838499,-0.06042468094312947,-0.050953234008319956,-0.050182741477843275,-0.005275945859858639,-0.03258544797436363,-0.2248875739553922,-0.25517208681735165,1.0,-0.26294646311229425,-0.0663686951924109,-0.07988556607582976,-0.2625534473705715,-0.0513001242549412,-0.03930780627031696,-0.2807654866262545,-0.06567765892138187,-0.05488431562318351,-0.003987171095068449,-0.05069607406973509,-0.03261037391925071,0.18445605953748284,0.19085590521598592,-0.43969623604165436,0.02727685593908609,0.06898880388345079,-0.030119419564658856,0.01779253848974721,0.04024273244031255,-0.037105918640314865,-0.0335124827108455,-0.02650446066934074,-0.03313129961489826,-0.027514944175765978,-0.005867914785877457,-0.05303322263626351,-0.04529187272409277,-0.06760224454581518,-0.4865383458028639,0.06406046949967513,-0.021853380351153442,-0.030896853581690677,-0.03217654286790868,-0.031527246474512084
feScore,-0.4689514376936889,0.06387979304524924,,0.3017327160161303,0.460447706565477,0.8241621303195743,0.19345915818807868,0.21006142866415703,0.021980226443664725,0.27683310194689476,0.18789751355454964,0.7610874638217167,0.11792830507611113,0.011376232191953925,-0.47639659561495346,0.4813860868504652,0.8537342332863258,0.1931201852490609,0.2127572963826704,0.2811655394123936,0.018825026134080148,0.18764199019375588,-0.16446517281144502,-0.19070245475433306,-0.26294646311229425,1.0,-0.3641733059778828,0.01534671495165327,0.9989483832838074,0.14252350967784644,0.49759831448300307,0.8773965050478151,0.19037918053447428,0.21489359740528935,0.01206609670544787,0.28531462023486026,0.1871517770259215,0.02151329526220393,0.014573379501160529,0.7333633960963782,-0.06897101375665436,0.007238984485456624,0.1698796570809504,-0.0476067718885466,0.055708026821420294,0.2555859886610746,0.23540022530839885,0.15983311140841922,0.23242200873690794,0.16384996777654426,0.45997589536764716,0.1957214581161849,0.5211596059840234,0.09785376919603507,0.7161658184329417,0.3731469929745796,0.1539695169637121,0.18601211471033824,0.18979130355289148,0.188120255710828
